English,Translation 1,Translation 2
Language,ಭಾಷೆ,
Author,ಲೇಖಕ,
Error,ದೋಷ,
Share,ಹಂಚಿಕೊಳ್ಳಿ,
Image preview,ಚಿತ್ರ ಮುನ್ನೋಟ,
invite,ಆಹ್ವಾನಿಸು,
enable,ಸಾಧ್ಯಗೊಳಿಸು,ಸಕ್ರಿಯಗೊಳಿಸಿ
Recipient,ಸ್ವೀಕೃತದಾರರ,
Error,ದೋಷ,
Resend,ಪುನಃ ಕಳುಹಿಸಿ,
members,ಸದಸ್ಯರು,
From,ಇಂದ,
To,ಗೆ,
Privacy,ಖಾಸಗಿತನ,ಗೌಪ್ಯತೆ
link,ಜೋಡಣೆ,
sync,ಸಮನ್ವಯಗೊಳಿಸು,
Android,ಆಂಡ್ರ್ಯಾಡ್,
Devices,ಸಾಧನವನ್ನು,
code,ಸಂಕೇತ,
generating,ರಚಿಸಲಾಗುತ್ತಿದೆ ,
with,ಜೊತೆ ,
settings,ಸಂಯೋಜನೆಗಳು,ಸಿದ್ಧತೆಗಳು
Off,ಆರಿಸು,
Message,ಸಂದೇಶ,
update,ನವೀಕರಣ,
Detail,ವಿವರಗಳು,
send ,ಕಳುಹಿಸಿ,
session,ಅಧಿವೇಶನ,
Reset,ಮರುಹೊಂದಿಸಿ,
Receive,ಸ್ವೀಕರಿಸಿ,
Identity,ಗುರುತು,
Public,ಸಾರ್ವಜನಿಕ,ಬಹಿರಂಗ
Accept,ಸ್ವೀಕರಿಸಿ,
verify,ಪರಿಶೀಲಿಸಿ,
contact,ಸಂಪರ್ಕ,
Unsupported,ಬೆಂಬಲವಿಲ್ಲದ,
restrictions,ನಿರ್ಬಂಧಗಳನ್ನು,
Resend,ಪುನಃ ಕಳುಹಿಸಿ,
members,ಸದಸ್ಯರು,
